route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
102548,14320,347620736,"Bellevue Transit Center Crossroads","LOCAL",1,7216015,30672003,0,101,1,1
102548,14320,347620746,"Bellevue Transit Center Crossroads","LOCAL",1,7216010,30672003,0,101,1,1
102548,14320,347620776,"Bellevue Transit Center Crossroads","LOCAL",1,7216010,30672003,0,101,1,1
102548,14320,347620806,"Bellevue Transit Center Crossroads","LOCAL",1,7216010,30672003,0,101,1,1
102548,14320,347620826,"Bellevue Transit Center Crossroads","LOCAL",1,7216013,30672003,0,101,1,1
102548,14320,347620836,"Bellevue Transit Center Crossroads","LOCAL",1,7216017,30672003,0,101,1,1
102548,14320,347620866,"Bellevue Transit Center Crossroads","LOCAL",1,7216010,30672003,0,101,1,1
102548,14320,347620876,"Bellevue Transit Center Crossroads","LOCAL",1,7216011,30672003,0,101,1,1
102548,14320,347620916,"Bellevue Transit Center Crossroads","LOCAL",1,7216017,30672003,0,101,1,1
102548,14320,347620926,"Bellevue Transit Center Crossroads","LOCAL",1,7216012,30672003,0,101,1,1
102548,14320,347620936,"Bellevue Transit Center Crossroads","LOCAL",1,7216016,30672003,0,101,1,1
102548,14320,347620966,"Bellevue Transit Center Crossroads","LOCAL",1,7216014,30672003,0,101,1,1
102548,14320,347620986,"Bellevue Transit Center Crossroads","LOCAL",1,7216011,30672003,0,101,1,1
102548,14320,347620996,"Bellevue Transit Center Crossroads","LOCAL",1,7216015,30672003,0,101,1,1
102548,14320,347621006,"Bellevue Transit Center Crossroads","LOCAL",1,7216012,30672003,0,101,1,1
102548,14320,347621036,"Bellevue Transit Center Crossroads","LOCAL",1,7216012,30672003,0,101,1,1
102548,14320,347621056,"Bellevue Transit Center Crossroads","LOCAL",1,7216015,30672003,0,101,1,1
100236,17590,347630496,"Redmond","EXPRESS",0,7216081,41545006,0,501,1,1
100236,17590,347630506,"Downtown Seattle","EXPRESS",1,7216082,30545007,0,501,1,1
100236,17590,347630536,"Downtown Seattle","EXPRESS",1,7216084,30545007,0,501,1,1
100236,17590,347630556,"Redmond","EXPRESS",0,7216083,41545006,0,501,1,1
100236,17590,347630576,"Redmond","EXPRESS",0,7216082,41545006,0,501,1,1
100236,17590,347630586,"Downtown Seattle","EXPRESS",1,7216081,30545007,0,501,1,1
100236,17590,347630616,"Redmond","EXPRESS",0,7216084,41545006,0,501,1,1
100236,17590,347630626,"Downtown Seattle","EXPRESS",1,7216083,30545007,0,501,1,1
100236,17590,347630656,"Redmond","EXPRESS",0,7216081,41545006,0,501,1,1
100236,17590,347630666,"Downtown Seattle","EXPRESS",1,7216082,30545007,0,501,1,1
100236,17590,347630696,"Redmond","EXPRESS",0,7216083,41545006,0,501,1,1
100236,17590,347630706,"Downtown Seattle","EXPRESS",1,7216084,30545007,0,501,1,1
100236,17590,347630716,"Redmond","EXPRESS",0,7216082,41545006,0,501,1,1
100236,17590,347630746,"Downtown Seattle","EXPRESS",1,7216081,30545007,0,501,1,1
100236,17590,347630756,"Redmond","EXPRESS",0,7216085,41545006,0,501,1,1
100236,17590,347630786,"Downtown Seattle","EXPRESS",1,7216082,30545007,0,501,1,1
100236,17590,347630796,"Downtown Seattle","EXPRESS",1,7216083,30545007,0,501,1,1
100236,17590,347630806,"Redmond","EXPRESS",0,7216084,41545006,0,501,1,1
100236,17590,347630836,"Redmond","EXPRESS",0,7216081,41545006,0,501,1,1
100236,17590,347630866,"Redmond","EXPRESS",0,7216083,41545006,0,501,1,1
100236,17590,347630876,"Downtown Seattle","EXPRESS",1,7216084,30545007,0,501,1,1
100236,17590,347630886,"Downtown Seattle","EXPRESS",1,7216085,30545007,0,501,1,1
100236,17590,347630916,"Downtown Seattle","EXPRESS",1,7216081,30545007,0,501,1,1
100236,17590,347630926,"Redmond","EXPRESS",0,7216085,41545006,0,501,1,1
100236,17590,347630936,"Redmond","EXPRESS",0,7216082,41545006,0,501,1,1
100236,17590,347630986,"Downtown Seattle","EXPRESS",1,7216082,30545007,0,501,1,1
100236,17590,347630996,"Redmond","EXPRESS",0,7216084,41545006,0,501,1,1
100236,17590,347631006,"Redmond","EXPRESS",0,7216081,41545006,0,501,1,1
100236,17590,347631016,"Downtown Seattle","EXPRESS",1,7216083,30545007,0,501,1,1
100236,17590,347631026,"Downtown Seattle","EXPRESS",1,7216084,30545007,0,501,1,1
100236,17590,347631036,"Redmond","EXPRESS",0,7216083,41545006,0,501,1,1
100236,17590,347631046,"Redmond","EXPRESS",0,7216082,41545006,0,501,1,1
100236,17590,347631056,"Downtown Seattle","EXPRESS",1,7216085,30545007,0,501,1,1
100236,17590,347631066,"Downtown Seattle","EXPRESS",1,7216086,30545007,0,501,1,1
